CIK,COMPANY_NAME,FILING_DATE,ACCESSION_NUMBER,SIC_CODE,SIC_DESCRIPTION,SECTOR,SHARES_OFFERED,FINAL_PRICE,GROSS_PROCEEDS,EXTRACTION_METHOD,TRAILING_REVENUE,SHARES_OUTSTANDING,IMPLIED_MARKET_CAP,PRICE_TO_SALES_RATIO,FILING_QUARTER,FILING_YEAR,SECTOR_AVG_PS,SECTOR_MEDIAN_PS,VALUATION_FLAG
2019505,"Health In Tech, Inc.",2024-12-23,0001213900-24-111564,6411,"Insurance Agents, Brokers & Service",Insurance,2300000,4.00000000,9200000.00000000,regex,33327511,,9200000.00000000,0.2760482173,2024-10-01,2024-01-01,0.6440590323,0.6440590323,Cheaply valued
2011514,Anteris Technologies Global Corp.,2024-12-13,0001104659-24-128451,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Medical Devices,14800000,6.00000000,88800000.00000000,regex,1913000,41579881,249479286.00000000,130.412590695,2024-10-01,2024-01-01,150.658188517,150.658188517,In line with sector
1638826,"ServiceTitan, Inc.",2024-12-12,0001193125-24-277099,7372,Services-Prepackaged Software,Software & IT Services,8800000,71.00000000,624800000.00000000,regex,960965000,35397085,2513193035.00000000,2.61528051,2024-10-01,2024-01-01,3.796173442,3.182158682,In line with sector
1637147,"zSpace, Inc.",2024-12-06,0001104659-24-125986,7372,Services-Prepackaged Software,Software & IT Services,1875000,5.00000000,9375000.00000000,regex,27858000,32353546,161767730.00000000,5.806868045,2024-10-01,2024-01-01,3.796173442,3.182158682,Richly valued
1969302,Pony AI Inc.,2024-11-27,0001104659-24-123680,7373,Services-Computer Integrated Systems Design,Software & IT Services,20000000,13.00000000,260000000.00000000,regex,,,260000000.00000000,,2024-10-01,2024-01-01,3.796173442,3.182158682,No revenue data
1770501,Venu Holding Corp,2024-11-27,0001493152-24-047942,7900,Services-Amusement & Recreation Services,Other,1200000,10.00000000,12000000.00000000,regex,17897046,42860764,428607640.00000000,23.948513067,2024-10-01,2024-01-01,59.649200047,1.389977905,Richly valued
1788230,"Heritage Distilling Holding Company, Inc.",2024-11-25,0001213900-24-101775,2080,Beverages,Other,1687500,4.00000000,6750000.00000000,regex,8402488,9651081,38604324.00000000,4.594392042,2024-10-01,2024-01-01,59.649200047,1.389977905,Richly valued
1984086,"Septerna, Inc.",2024-10-25,0001193125-24-244123,2834,Pharmaceutical Preparations,Pharmaceuticals,16000000,18.00000000,288000000.00000000,regex,45951000,44806272,806512896.00000000,17.551585297,2024-10-01,2024-01-01,81.152935495,22.384372075,In line with sector
1897762,Ingram Micro Holding Corp,2024-10-24,0001193125-24-242843,5045,Wholesale-Computers & Peripheral Equipment & Software,Other,11600000,22.00000000,255200000.00000000,regex,52556263000,235157769,5173470918.00000000,0.09843681081,2024-10-01,2024-01-01,59.649200047,1.389977905,Cheaply valued
1947210,"High Roller Technologies, Inc.",2024-10-23,0001753926-24-001757,7900,Services-Amusement & Recreation Services,Other,1250000,8.00000000,10000000.00000000,regex,20453000,8485404,67883232.00000000,3.318986555,2024-10-01,2024-01-01,59.649200047,1.389977905,Richly valued
